Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
05/27/19,27.63525538,29.59,3.72,1,Conch,B14,B,36,81,26.8,,,yes,0,3,94,3,100,20,yes,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,B3,B,36,81,26.8,,,yes,0,0,100,0,100,70,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,B4,B,36,81,26.8,1860.58,1246.03,yes,0,0,90,10,100,30,yes,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,C13,C,36,81,26.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/27/19,27.63525538,29.59,3.72,1,Conch,C14,C,36,81,26.8,,,no,0,15,80,5,100,0,yes,Yes ,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,C3,C,36,81,26.8,1381.99,-287.54,yes,0,0,100,0,100,50,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,C4,C,36,81,26.8,1321.39,378.1,no,0,10,80,10,100,15,yes,Yes ,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,D13,D,36,81,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,D14,D,36,81,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,D3,D,36,81,26.8,1059.71,-545.7,yes,0,0,100,0,100,0,no,no,no,0,yes
05/27/19,27.63525538,29.59,3.72,1,Conch,D4,D,36,81,26.8,757.45,-309.95,yes,0,0,100,0,100,0,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,A13,A,35.5,87,26.8,,,yes,0,5,95,0,100,0,no,no,no,4,yes
08/04/19,30.25937,31.25,1.96,2,Conch,A14,A,35.5,87,26.8,,,yes,0,5,95,0,100,0,no,no,no,3,yes
08/04/19,30.25937,31.25,1.96,2,Conch,A3,A,35.5,87,26.8,593.03,-308.35,yes,0,1,99,0,100,0,no,no,no,2,no
08/04/19,30.25937,31.25,1.96,2,Conch,A4,A,35.5,87,26.8,884.27,-224.3,yes,0,2,98,0,100,1,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,B13,B,35.5,87,26.8,,,yes,0,0,100,0,100,1,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,B14,B,35.5,87,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,B3,B,35.5,87,26.8,254.45,-1075.08,yes,0,0,100,0,100,1,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,B4,B,35.5,87,26.8,700.71,-170.98,yes,0,0,100,0,100,1,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,C13,C,35.5,87,26.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/04/19,30.25937,31.25,1.96,2,Conch,C14,C,35.5,87,26.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/04/19,30.25937,31.25,1.96,2,Conch,C3,C,35.5,87,26.8,383.07,-1142.6,yes,0,10,85,5,100,10,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,C4,C,35.5,87,26.8,931.27,-555.51,yes,0,0,100,0,100,3,no,no,no,0,no
08/04/19,30.25937,31.25,1.96,2,Conch,D13,D,35.5,87,26.8,,,yes,0,0,95,5,100,1,no,no,no,1,no
08/04/19,30.25937,31.25,1.96,2,Conch,D14,D,35.5,87,26.8,,,yes,0,0,95,5,100,1,no,no,no,1,no
08/04/19,30.25937,31.25,1.96,2,Conch,D3,D,35.5,87,26.8,579.48,-742.39,yes,0,0,95,5,100,1,no,no,no,1,yes
08/04/19,30.25937,31.25,1.96,2,Conch,D4,D,35.5,87,26.8,,,yes,0,0,95,5,100,1,no,no,no,0,yes
