"","date","monmean","monmax","monrang","time","reef","coral_id","genotype","salinity","temp","depth","p_rate","r_rate","healthy_y_n","algae_growth","mortality","healthy_tissue","white","total","pale_living_tissue","blotchy_y_n","disease_y_n","tumor_y_n","fish_bites","boring_y_n"
"34",2019-08-02,30.4277,32.27,2.73,"2","Cary","A15","A",35.5,86.5,22.2,NA,NA,"yes",0,0,85,15,100,50,"yes","no","no",0,"yes"
"35",2019-08-02,30.4277,32.27,2.73,"2","Cary","A16","A",35.5,86.5,22.2,NA,NA,"yes",0,0,97,3,100,0,"no","no","no",0,"no"
"36",2019-08-02,30.4277,32.27,2.73,"2","Cary","A2","A",35.5,86.5,22.2,441.37,-839.72,"yes",0,0,95,5,100,60,"yes","no","no",0,"no"
"37",2019-08-02,30.4277,32.27,2.73,"2","Cary","B1","B",35.5,86.5,22.2,896.1,477.06,"no",0,2,85,13,100,10,"no","no","no",0,"no"
"38",2019-08-02,30.4277,32.27,2.73,"2","Cary","B15","B",35.5,86.5,22.2,NA,NA,"no",0,20,20,60,100,0,"yes","no","no",0,"no"
"39",2019-08-02,30.4277,32.27,2.73,"2","Cary","B16","B",35.5,86.5,22.2,NA,NA,"yes",0,0,80,20,100,5,"yes","no","no",0,"yes"
"40",2019-08-02,30.4277,32.27,2.73,"2","Cary","B2","B",35.5,86.5,22.2,3233.01,4957.85,"no",0,5,80,15,100,80,"yes","no","no",0,"no"
"41",2019-08-02,30.4277,32.27,2.73,"2","Cary","C1","C",35.5,86.5,22.2,1417.04,466.74,"no",0,5,80,15,100,20,"yes","no","no",0,"no"
"42",2019-08-02,30.4277,32.27,2.73,"2","Cary","C15","C",35.5,86.5,22.2,NA,NA,"no",0,5,60,35,100,10,"yes","no","no",0,"no"
"43",2019-08-02,30.4277,32.27,2.73,"2","Cary","C16","C",35.5,86.5,22.2,NA,NA,"yes",0,5,85,10,100,10,"yes","no","no",0,"no"
"44",2019-08-02,30.4277,32.27,2.73,"2","Cary","C2","C",35.5,86.5,22.2,3632.49,3890.59,"yes",0,5,75,20,100,20,"yes","no","no",0,"no"
"45",2019-08-02,30.4277,32.27,2.73,"2","Cary","D1","D",35.5,86.5,22.2,1409.98,263.37,"no",0,10,60,30,100,40,"yes","no","no",0,"no"
"46",2019-08-02,30.4277,32.27,2.73,"2","Cary","D15","D",35.5,86.5,22.2,NA,NA,"yes",0,0,98,2,100,5,"no","no","no",2,"no"
"47",2019-08-02,30.4277,32.27,2.73,"2","Cary","D16","D",35.5,86.5,22.2,NA,NA,"no",0,5,55,40,100,10,"yes","no","no",0,"no"
"48",2019-08-02,30.4277,32.27,2.73,"2","Cary","D2","D",35.5,86.5,22.2,2264.64,1640.11,"yes",0,0,95,5,100,20,"yes","no","no",0,"no"
"49",2019-12-16,25.4547043,26.59,3.64,"3","Cary","A1","A",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,5,"no","no","no",0,"no"
"50",2019-12-16,25.4547043,26.59,3.64,"3","Cary","A15","A",35.5,79,22.2,NA,NA,"yes",0,2,98,0,100,5,"no","no","no",0,"yes"
"51",2019-12-16,25.4547043,26.59,3.64,"3","Cary","A16","A",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","No ","no",0,"no"
"52",2019-12-16,25.4547043,26.59,3.64,"3","Cary","A2","A",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,5,"no","no","no",0,"no"
"53",2019-12-16,25.4547043,26.59,3.64,"3","Cary","B1","B",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,8,"no","no","no",0,"no"
"54",2019-12-16,25.4547043,26.59,3.64,"3","Cary","B15","B",35.5,79,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2019-12-16,25.4547043,26.59,3.64,"3","Cary","B16","B",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"56",2019-12-16,25.4547043,26.59,3.64,"3","Cary","B2","B",35.5,79,22.2,NA,NA,"yes",0,0,99,1,100,2,"no","no","no",0,"no"
"57",2019-12-16,25.4547043,26.59,3.64,"3","Cary","C1","C",35.5,79,22.2,NA,NA,"yes",0,0,95,5,100,10,"no","no","no",0,"no"
"58",2019-12-16,25.4547043,26.59,3.64,"3","Cary","C15","C",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,2,"no","no","no",0,"no"
"59",2019-12-16,25.4547043,26.59,3.64,"3","Cary","C16","C",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"60",2019-12-16,25.4547043,26.59,3.64,"3","Cary","C2","C",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"61",2019-12-16,25.4547043,26.59,3.64,"3","Cary","D1","D",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"62",2019-12-16,25.4547043,26.59,3.64,"3","Cary","D15","D",35.5,79,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"yes"
"63",2019-12-16,25.4547043,26.59,3.64,"3","Cary","D16","D",35.5,79,22.2,NA,NA,"yes",0,0,99,1,100,0,"no","no","no",0,"no"
"64",2019-12-16,25.4547043,26.59,3.64,"3","Cary","D2","D",35.5,79,22.2,NA,NA,"yes",0,0,95,5,100,0,"yes","no","no",2,"no"
"65",2019-02-05,24.7,NA,3.68,"0","Conch","A13","A",36.5,76.5,26.8,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"66",2019-02-05,24.7,NA,3.68,"0","Conch","A14","A",36.5,76.5,26.8,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"67",2019-02-05,24.7,NA,3.68,"0","Conch","A3","A",36.5,76.5,26.8,874.83,7.24,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
